,INPUT_POOL,OUTPUT_POOL,FP_5,mouse_ID,FP_1,FP_4,FP_3,FP_2,FP
1398,INPUT_SKIN10_90_5.txt,OUTPUT_SKIN7_90_5.txt,0.139401533,5,0.139407734,0.139393526,0.139390625,0.139368434,0.134796816
1399,INPUT_SKIN10_90_5.txt,OUTPUT_SKIN8_90_5.txt,0.15343035,5,0.153413028,0.153426516,0.153410272,0.153425771,0.147298621
1400,INPUT_SKIN10_90_5.txt,OUTPUT_SKIN9_90_5.txt,0.327160533,5,0.327137359,0.327005326,0.327163849,0.327198453,0.331421306
1401,INPUT_SKIN11_90_5.txt,OUTPUT_BM1_90_5.txt,3.516518431,5,3.516464048,3.519387146,3.51591947,3.514852952,3.444126059
1402,INPUT_SKIN11_90_5.txt,OUTPUT_BM2_90_5.txt,3.00703019,5,3.008041666,3.007245368,3.00604483,3.007910303,3.38444679
1403,INPUT_SKIN11_90_5.txt,OUTPUT_GUT_90_5.txt,NA,5,NA,NA,NA,NA,NA
1404,INPUT_SKIN11_90_5.txt,OUTPUT_L_90_5.txt,6.552006052,5,6.554273167,6.553984903,6.552901246,6.555109436,6.571630349
1405,INPUT_SKIN11_90_5.txt,OUTPUT_LN1_90_5.txt,8.529717452,5,8.52806007,8.527845813,8.531399521,8.530522076,8.486482493
1406,INPUT_SKIN11_90_5.txt,OUTPUT_LN2_90_5.txt,0.183758393,5,0.183806631,0.183817597,0.183688563,0.183757346,0.187263428
1407,INPUT_SKIN11_90_5.txt,OUTPUT_LUNG_90_5.txt,2.069872988,5,2.069940644,2.07080882,2.070239502,2.072105547,2.070767633
1408,INPUT_SKIN11_90_5.txt,OUTPUT_S_90_5.txt,4.843677856,5,4.842545319,4.842573036,4.844264836,4.843144421,4.905680704
1409,INPUT_SKIN11_90_5.txt,OUTPUT_SKIN1_90_5.txt,0.055154148,5,0.055152966,0.055151298,0.055158505,0.055154921,0.051508959
1410,INPUT_SKIN11_90_5.txt,OUTPUT_SKIN10_90_5.txt,0.396545327,5,0.39663017,0.396684808,0.396754309,0.396747247,0.388322813
1411,INPUT_SKIN11_90_5.txt,OUTPUT_SKIN11_90_5.txt,-439029.5,5,-439040,-439011.5,-438970.5,-438991.5,-487827.5
1412,INPUT_SKIN11_90_5.txt,OUTPUT_SKIN12_90_5.txt,0.307437041,5,0.30742556,0.307543353,0.307643415,0.307586438,0.325264983
1413,INPUT_SKIN11_90_5.txt,OUTPUT_SKIN2_90_5.txt,0.564344508,5,0.564706309,0.564410645,0.56480313,0.56451547,0.544836193
