True_FP,Est_FP,Total_parasites,Barcode_number,Bottleneck_prob
2,2.020408163,50000000,100,0.0000001
8,8.608695652,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
2,2.020408163,50000000,100,0.0000001
8,8.608695652,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
6,6.319148936,50000000,100,0.0000001
9,9.791208791,50000000,100,0.0000001
7,5.700352526,50000000,100,0.0000001
6,6.319148936,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
10,7.615384615,50000000,100,0.0000001
3,3.06185567,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
0,,50000000,100,0.0000001
3,3.06185567,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
10,9,50000000,100,0.0000001
4,2.712328767,50000000,100,0.0000001
2,2.020408163,50000000,100,0.0000001
7,7.451612903,50000000,100,0.0000001
7,7.451612903,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
8,8.608695652,50000000,100,0.0000001
8,8.608695652,50000000,100,0.0000001
3,3.06185567,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
4,4.088235294,49999880,140,0.0000001
4,4.088235294,49999880,140,0.0000001
4,4.088235294,49999880,140,0.0000001
4,4.088235294,49999880,140,0.0000001
3,3.04379562,49999880,140,0.0000001
3,3.04379562,49999880,140,0.0000001
8,8.424242424,49999880,140,0.0000001
4,2.699029126,49999880,140,0.0000001
7,7.315789474,49999880,140,0.0000001
7,7.315789474,49999880,140,0.0000001
3,3.04379562,49999880,140,0.0000001
7,5.624277457,49999880,140,0.0000001
6,6.223880597,49999880,140,0.0000001
